State EV Total Ratio
SC 9 63952 7105.78
MS 10 86679 8667.9
LA 10 92982 9298.2
AL 12 130728 10894
NV 3 33316 11105.3
GA 14 160681 11477.2
VA 12 152025 12668.8
FL 6 80734 13455.7
VT 4 64475 16118.8
DE 3 51810 17270
WY 3 51840 17280
RI 5 87816 17563.2
TX 20 372467 18623.3
AR 9 170104 18900.4
AZ 3 58021 19340.3
NM 3 66787 22262.3
NH 4 89127 22281.8
TN 12 272190 22682.5
ME 6 136314 22719
ND 5 115390 23078
NC 12 289837 24153.1
SD 5 128942 25788.4
OK 10 292753 29275.3
MA 18 531823 29545.7
CT 7 213874 30553.4
MN 12 387364 32280.3
MD 8 262039 32754.9
ID 4 134615 33653.8
PA 38 1297189 34136.6
WI 13 447134 34394.9
US 531 18536585 34908.8
NJ 14 494442 35317.3
UT 4 143146 35786.5
NE 8 287315 35914.4
WV 8 289852 36231.5
NY 45 1706305 37917.9
IA 13 513942 39534
KY 13 520078 40006
MI 15 650973 43398.2
MO 18 786769 43709.4
MT 4 177679 44419.8
IN 15 718848 47923.2
OH 24 1165086 48545.2
CO 6 294375 49062.5
OR 5 261650 52330
WA 7 380994 54427.7
KS 10 629813 62981.3
IL 29 2192707 75610.6
CA 13 999603 76892.5
